"SeqNo";"Type";"DHID";"Parent";"Name";"Latitude";"Longitude";"MunicipalityCode";"Municipality";"DistrictCode";"District";"Condition";"State";"Description";"Authority";"DelfiName";"TariffDHID";"TariffName"
"568";"S";"de:09161:7986";"de:09161:7986";"IN, Körnerstraße";"48,7733";"11,4425";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"569";"Q";"de:09161:7986:0:1";"de:09161:7986";"1";"48,77326";"11,44259";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"570";"Q";"de:09161:7986:0:2";"de:09161:7986";"2";"48,77335";"11,4424";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"571";"S";"de:09161:7987";"de:09161:7987";"IN, Weningstraße";"48,75503";"11,4379";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"572";"Q";"de:09161:7987:0:1";"de:09161:7987";"1";"48,75498";"11,4383";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"573";"Q";"de:09161:7987:0:2";"de:09161:7987";"2";"48,75506";"11,43748";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"574";"S";"de:09161:7988";"de:09161:7988";"IN, Asamstraße";"48,75314";"11,44016";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"575";"Q";"de:09161:7988:0:1";"de:09161:7988";"1";"48,7533";"11,44009";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"576";"Q";"de:09161:7988:0:2";"de:09161:7988";"2";"48,75299";"11,44023";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"577";"S";"de:09161:7989";"de:09161:7989";"IN, Fraunhoferstraße";"48,75026";"11,44125";"09161000";"Ingolstadt";"";"";"Unserved";"InOrder";"";"BEG";"-";"";""
"578";"Q";"de:09161:7989:0:1";"de:09161:7989";"1";"48,74963";"11,4415";"00000000";"-";"-";"-";"Unserved";"InOrder";"";"BEG";"-";"-";"-"
"579";"Q";"de:09161:7989:0:10";"de:09161:7989";"10";"48,7506";"11,44109";"00000000";"-";"-";"-";"Unserved";"InOrder";"";"BEG";"-";"-";"-"
"580";"Q";"de:09161:7989:0:2";"de:09161:7989";"2";"48,75088";"11,44104";"00000000";"-";"-";"-";"Unserved";"InOrder";"";"BEG";"-";"-";"-"
"581";"S";"de:09161:7990";"de:09161:7990";"IN, Paul-Wegmann-Halle";"48,74583";"11,4434";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
